,comment,title,date,name,stars
5660,"E' una meta che non può mancare se si visita Berlino. Ogni tratto del muro è stato decorato da artisti vari con scene spesso surreali, ma molto belle. Praticamente è un museo a cielo aperto. La visita non dura molto: giusto il tempo di passeggiare lungo i resti del muro per qualche centinaio di metri, soffermandosi sui ""quadri"" più interessanti.",La parte più consistente dei resti del muro di Berlino., 15 dicembre 2019,Francesco S,4.0
5661,"Ho pensato che ho perso la possibilità di vedere canali in Italia fino a che ho visitato la zona dei Navigli, ciò che mi è piaciuto di questo posto è che è un bel ritrovo locale dove la maggior parte delle persone intorno sono italiani così ho sentito la vera vita notturna di Milano, c'è stato un altro succo Italiano che era meno affollata di quella di area del Duomo . . Un sacco di scelta di bar e caffetterie. . Ho avuto un buon momento",Hanging out, 24 novembre 2018,Wazizy,4.0
5662,La sensazione di stupore che ho provato non appena ho intravisto questo meraviglioso parco dopo una lunga camminata tra i grattacieli è indescrivibile. I colori autunnali stupefacenti! Da visitare assolutamente il Met Museum ,Il cuore naturale della grande mela, 27 giugno 2016,Valentina C,5.0
5663,"È indiscutibilmente i Navigli sono diventati l'ombelico di Milano. Negli anni 70 era ancora una zona popolare con diverse botteghe e negozietti poi negli anno 80 divenne una zona per artisti e antiquari e grazie a Sergio Ricci fondatore del Mercatone dell'Antiquariato tutto il quartiere incominciò una graduale ascesa fino a diventare quello che oggi rappresenta, per tutti i turisti e gli abitanti. Quest'area è destinata a migliorare ancora nei prossimi mesi. Siete tutti i benvenuti.",Nato e cresciuto qua, 6 agosto 2015,greekfusion,5.0
5664,"la chiesa ha un esterno anonimo ma l'interno è completamente ricoperto di spendidi affreschi , in parte di Bernardino Luini, che raccontano la storia della Milano del 500. Ancora più affascinante la parte dietro la vela, quella delle monache di clausura , dove un eccezionale organo dell'Antegnati domina la parete. E' per me la meta di visita numero uno, tenuta aperta dal TCI.",l'interno più bello di Milano, 18 gennaio 2017,fatalenti,5.0
5665,"Un bellissimo parco nel centro della città, dove gli scoiattoli vivono liberi nel parco. Laghetto pista ciclabile artisti di strada giochi zoo bar ristoranti.. Ce n'è perTutti i gusti",Un parco  bellissimo , 10 gennaio 2016,francyjakmavi,5.0
5666,Siamo stati qui per vedere gli stands natalizi. Tutto molto bello. Un sacco di gente spensierata e allegra malgrado i tempi.,Molto particolare, 7 dicembre 2015,Menchelli,4.0
5667,"In un angolo di Corso Magenta, al riparo di una vecchia chiesa abbastanza anonima e senza particolari attrattive architettoniche, si cela una cappella benedettina spettacolare, divisa in due sale sormontate da un matroneo e riccamente affrescate da cicli pittorici dove sacro e profano si affiancano e si intersecano, opera di Bernardino Luini e bottega. La chiesa di San Maurizio al Monastero Maggiore sorge sulle vestigia del romanico circo di cui conserva una delle torri dei carceres oggi cella campanaria, ma questa è storia. Non perdete l’occasione di ammirare quella che, non a torto è definita la “cappella sistina lombarda”, e se potete fatelo con una visita guidata per apprezzarne dettagli e particolari (es. milanoguida.com).",Sorprendente, 4 marzo 2019,Daniele C,5.0
5668,Tappa fondamentale della visita a New York. Central Park merita almeno una mezza giornata per apprezzarlo completamente. Ritagliatevi il giusto tempo per godervi il polmone verde di New York,Meraviglioso..simbolo di una bellissima città, 15 maggio 2016,Gian Marco,5.0
5669,Piacevole passeggiata di ritorno dopo la visita del metropolitan in una Gionata autunnale piacevole e serena,Passeggiata, 9 ottobre 2019,Explore312333,4.0
5670,"Ero sicuro che sarei rimasto affascinato da questo parco, ma non avrei mai pensato di poterlo vedere anche dopo una bellissima nevicata. Passeggiare mentre i scoiattoli ti si avvicinano per avere cibo e intanto alzi gli occhi e sei circondato da numerosi grattacieli è un emozione unica che ti lascia senza fiato. Sotto la neve è con le carrozze che ti passano vicino sembra di vivere uno dei tanti films visti in tv. MERAVIGLIOSO.  ",Il luogo magico, 19 dicembre 2017,Sentacer,5.0
5671,Quartiere pieno di locali e ristoranti che affacciano tutti sul naviglio con i suoi angoli caratteristici e i suoi palazzi di ringhiera. da visitare alla sera. ,Sempre bello, 3 ottobre 2017,Carlo T.,5.0
5672,Da visitare ogni volta che si passa da Milano. La piacevole atmosfera e la vita che si respira rende questo luogo unico al mondo,Bellissimo..., 4 giugno 2019,255domenico87,4.0
5673,"Cosa di meglio dopo un bel giro al museo di storia naturale per rilassarsi? Ecco Central Park , incredibile polmone verde all’Interno di una metropoli da film! Meraviglioso!!",Relax a Central Park , 9 agosto 2018,jacopo c,5.0
5674,Non si può non visitare almeno una volta nella vita...tra le.maggiori opere italiane e spagnole.. prendetevi almeno 4 ore per godere appieno di tanta bellezza,Meraviglioso, 8 febbraio 2018,beatifulmind77,5.0
5675,"Una delle esperienze più toccanti che possiate fare a Berlino, profonda e approfondita. Non c’è tanta gente se andate la mattina e ve lo potete godere bene, tra l’altro non si paga quindi un giro ve lo sta consiglio, è davvero una cosa che vi resta. ",Esperienza da fare da soli anche se andate in compagnia, 29 ottobre 2017,Michela B,5.0
5676,Entrare nella rinomata Chiesa di San Maurizio al Monastero Maggiore di Milano significa fare un vero e proprio viaggio nella Storia dell'Arte italiana. IMPERDIBILE.,Una delle chiese più stupefacenti di Milano, 10 settembre 2017,dreamyviajero,5.0
5677,"Fortunatamente sono riusciti a lasciare un tratto del muro in piedi, cosa non facile in quel periodo, ed intelligentemente lo hanno destinato alla libertà di espressione di una miriade di bravi artisti che altrimenti non avrebbero avuto alcuno spazio espositivo.Purtroppo si denota una certa precarietà e degrado  nel tessuto sociale della zona, probabilmente figlio della società dell'ex DDR.",Onore alla memoria, 8 febbraio 2020,Mcumby,5.0
5678,E' una chiesa pressoché sconosciuta ma da visitare assolutamente. In posizione centrale (c.so Magenta). Affreschi sorprendenti e oratorio imponente in legno. Presenza di piccolo museo con reperti romani.,Sconosciuta ma da vedere, 2 ottobre 2016,marbingo,5.0
5679,Immersa nel cuore di Milano è assolutamente da vedere questo gioiellino di chiesa.All'ingresso si viene accolti da un'esplosione di colori sulle volte affrescate. Si rimane estasiati con il naso all'insù ad ammirare i dipinti. Lodevole l'iniziativa dei volontari che fanno di tutto per rendere fruibile la visita. Da non perdere.,Una chicca nel cuore di Milano, 17 settembre 2015,ottobrerosso70,5.0
5680,Parco semplicemente magnifico! Talmente vasto che non siamo riusciti a girarlo tutto! Avevamo il desiderio di fare il giro in barca del laghetto ma non siamo riusciti e rimane uno dei nostri crucci... ,Il polmone verde della grande mela!, 9 agosto 2018,Massimiliano Perria,5.0
5681,"Fantastico parco pulito e sempre grande ottimo per arrivarci in metropolitana è vicino anche lo zoo da vedere con varie specie di animali nel parco si può camminare,rilassarsi con simpatici scoiattoli che corrono nel prato tranquilli oppure fare un giro in bici o correre tt in totale sicurezza  ",Ferie 2017 , 9 agosto 2017,Emanuele C,5.0
5682,"Usciti dal museo di scienze naturali abbiamo attraversato solo una parte di questo parco direzione sud , abbiamo visto la statua di Alice nel paese delle meraviglie e due laghi con lo sfondo dei grattacieli e visto un procione ! Da vedere assolutamente! ",Immenso , 10 luglio 2017,Pyper B,5.0
5683,Visita da non poter perdere. Raccontata in maniera esemplare attraverso audio guida al prezzo di 3 euro. Non si paga ingresso. Il memoriale è costituito da una miriade di monumenti che riproducono feretri al centro di una piazza a due passi dalla porta di Brandeburgo. Assolutamente da vedere,Memoria. , 5 maggio 2019,Giuseppe P,5.0
5684,Ingresso salta la fila ( è vi assicuro che ce ne era molta sotto il sole) ed entriamo in questo capolavoro di museo.  Sale grandissime. Sono rimasta colpita positivamente dall'arte di Goya è Velasquez ai quali è dedicato molto spazio.  Audioguida utilissima e 3 ore e mezza circa di visita non ci hanno permesso di vedere tutto il museo. Bella esperienza,Una mattinata immersa nell'arte e nello splendore, 13 giugno 2018,Chiara B,5.0
5685,Un parco così bello non lo avevo mai visto.... un emozione unica perdersi nel verde della grande metropoli non avrei mai e poi mai pensato di innamorarmi di un posto così ... lo porteremo sempre nel cuore❤️,Senza parole!, 4 luglio 2018,Lucio S,5.0
5686,"Nonostante sapessi del suo splendore dopo il lungo restauro, è stata un' incredibile sorpresa, tripudio di colori, una musica dolce ed indicatissima di sottofondo.Da non dimenticare di visitare",Visita a San Maurizio - Monastero Maggiore, 1 febbraio 2016,Licia L,5.0
5687,"Vale la pena visitarlo.La mattina trocedete i ricchi newyorkesi che portano a spasso i cani (se provate ad accarezzarli li scanseranko in maniera quasi schifata).Nel complesso è un bel parco con ottimi scorci, in più è pieno di scoiattoli che prendono il cibo dalle vostre mani!",Un parco. Molto bello, 23 dicembre 2019,saccottini,5.0
5688,"Bellissimo parco, immenso.Mi ero segnata tutti i punti da vedere ma quando sono entrata ho rinunciato vista la vastita della zona ed ho visto solo un paio di posti fermandomi , rilassandomi ,guardandomi intorno e calandomi nella parte di un newyorkese che cerca un po' di tranquillitá.Se avessi corso per vedere tutti i punti indicati dalla guida mi sarei solo stressata, cosi me lo sono goduta",Bellissimo per rilassarsi, 24 giugno 2016,abissina,5.0
5689,"Zona bellissima della città,con i suoi localini deliziosi,prezzi un po' alti. Volendo si può prendere il traghetto per la navigazione,molto interessante",Bello, 11 maggio 2023,Catherine C,4.0
5690,Un posto triste è molto squallido! Molto sporco e lasciato andare. Le pitture purtroppo sono in secondo piano rispetto allo squallore del posto.....spiace perché potrebbe essere migliore!!!,Tristissimo e squallido, 29 luglio 2019,Milu2008,2.0
5691,"Posto molto particolare sono stato molte volte a Milano ma non ho mai avuto tempo per fare un giro nei navigli, veramente bello abbiamo parcheggiato in zona e siamo andati a piedi fino a piazza Duomo attraversando le colonne di San Lorenzo molto belle... ",Una delle zone più belle della città , 2 gennaio 2019,max266,5.0
5692,"..che offre molto, bellissimi giardini, pulizia e personale che mantiene ordine e pulizia. Si possono affittare le bici, fermarsi ai bar, mangiare e godere del verde e delle bellissime piante, laghetti è molto altro.",Parco ben tenuto, 20 maggio 2016,Annalisa L,5.0
5693,"Meglio di Central Park a mio avviso c'è solo DUMBO e Brooklyn heights promenade. Perdersi è sempre un piacere, numerosi punti panoramici, poi la pista di pattinaggio, insomma 1 giorno almeno io lo dedicherei a Central park",Adoro, 11 novembre 2022,FLSTFB,5.0
5694,"Passeggiata tra il sacro ed il profano... Una parte di muro rimasta in piedi lungo il fiume, con i vari disegni lanciati alla ribalta dalla storia. Lungo la passeggiata però, bar con spiaggia ed altri locali. Inoltre presenza di venditori abusivi di pezzi di muro ed altri memorabilia... Vale la pena vederlo perchè è un pezzo di storia, ma fare attenzione",Il sacro ed il profano, 24 agosto 2018,Fabio L,4.0
5695,"Stupendo!! Prima di entrare nwl parco abbiamo noleggiato delle biciclette perche  fuori al parvo ci sono molte persone con dei cataloghi che ti invitano a noleggiare le bici abbiamo seguito qursta persona e ci ha portato in un noleggio bivi a pochi pentri dall entrata del parco. il parco é enorme e bellissimo da girare e da scattare foto al suo interno. abbiamo approfittato sempre in bici di uscire dal parco e visitare il museo ""american museum of natural history"" il museo del film una notte al museo. abbiamo parcheggiato le bici con dei lucchetti e siamo entrati ",Una meraviglia, 29 aprile 2018,mangiatorediclasse,5.0
5696,"Un po' fuori dai normali percorsi turistici, è un luogo che racchiude un'importanza simbolica molto profonda: sono presenti anche le foto di alcune delle vittime di quella assurda privazione della libertà, quelli che ci hanno provato senza riuscirci.Molto toccante e coinvolgente.",Molto toccante e coinvolgente, 22 dicembre 2022,Nuwanda,5.0
5697,"Adoro Central Park, è un luogo fantastico, perfetto per andare a correre, per sedersi a riposare o pranzare, per fare una passeggiata nei luoghi di migliaia di film!",Amo questo posto, 16 ottobre 2015,Shoesanna,5.0
5698,"Central park è sempre bello. In tutte le stagioni ha il suo fascino. Andare a New York e non fare una passeggiata sarebbe un vero peccato. Scoiattoli che saltano da un albero all'altro... artisti di strada che suonano , laghetti e tanto altro",Sempre affascinante, 6 dicembre 2019,francesca2958,5.0
5699, Di recente hanno ripitturato una buona parte di muro. Molto bello da attraversare e lascia una sensazione di rivoluzione e libertà. ,Vario e colorato, 12 febbraio 2019,Marco S,5.0
5700,"passeggiare per central park è magico , abbiamo anche preso a noleggio le bici per due ore per vederlo meglio",un sogno che si avvera, 3 agosto 2017,Barbara171090,5.0
5701,"Non è il Pardo più bello del mondo, ma sicuramente è il più affascinante. Puoi trovare di tutto e puoi fare di tutto. Puoi giocare a calcio o puoi fare jogging, puoi fare colazione al sacco o puoi fermarti in un chioschetto. È immenso ed è strepitosamente emozionante girarlo a piedi",Ha il suo fascino., 16 settembre 2018,Fabio Ionà,5.0
5702,"abbiamo prenotato il 28 gennaio una visita guidata di gruppo al duomo, museo, area archeologica e terrazze in ascensore con salta la fila. Giulia è stata una guida molto competente ed estremamente disponibile che ha saputo trasmettere al gruppo tutto il suo entusiasmo. L'ingresso è dal lato destro del duomo, di fronte all'arcivescovado, dove ci attendeva la guida.  E' stato tutto molto interessante, compresa l'area archeologica. Molte cose sono state delle autentiche scoperte anche per me milanese dalla nascita ( ad esempio ignoravo l'esistenza della meridiana sul pavimento all'ingresso della cattedrale). Esperienza molto apprezzata a maggior ragione dagli amici toscani. Dopo 90 minuti, il tramonto tra le guglie ha chiuso in bellezza la visita. Esperienza da non perdere! Piccola piacevole nota conclusiva. Avevo prenotato e pagato per 9 ma due persone hanno disdettato con meno di 6 giorni di preavviso. Da regolamento avrei avuto diritto alla restituzione solo del 50% della quota invece mi sono state rimborsate le due quote per intero. Chapeau!",esperienza imperdibile, 30 gennaio 2023,ENZO T,5.0
5703,"Forse non tutti sanno che questa chiesa è anche conosciuta come la Cappella Sistina di Milano. E infatti l'interno della chiesa è completamente ricoperta di affreschi per lo più di Bernardino Luini, genio lombardo di scuola rinascimentale, vissuto appunto a cavallo tra il 400 e il 500. Assolutamente da visitare! Resterete a bocca aperta!",Affascinante, 15 dicembre 2015,Laura G,5.0
5704,"NON si può mancare. Assolutamente da vedere. E' chiamata la Cappella Sistina di Milano. Il nome è altosnante e le dimensioni non sono paragonabili, ma il risultato è comunque sorprendente, specie perchè inaspettato.",SUPERBA ed una sorpresa inaspettata., 9 gennaio 2019,brunob_Tn,5.0
5705,"Ovviamente in inverno non c'è la stessa atmosfera dell'estate, ma i localini e i negozi rendono i Navigli un posto unico, il cuore pulsante della vita notturna milanese...",I Navigli...la movida milanese, 10 febbraio 2016,Il Coach,4.0
5706,"«La strada che Renzo aveva preso, andava allora, come adesso, dritta fino al canale detto il Naviglio: i lati erano siepi o muri d’orti, chiese, conventi e poche case» (da «I promessi sposi»). Beh, dai tempi del Manzoni qualcosa è decisamente cambiato! Oggi i navigli sono la zona per eccellenza della movida a Milano: la sera, specialmente d’estate, fai quasi fatica a muoverti tra le migliaia di persone (tantissimi gli stranieri) che affollano gli innumerevoli locali, di ogni cucina e per ogni tasca. Ora c’è anche la rifatta Darsena che attira nuovi curiosi mentre il Vicolo dei Lavandai è sempre il più fotografato. Poi ci sono sempre gli appuntamenti fissi della Mostra dei Fiori e la Fiera dell’Antiquariato, così come la rinata navigazione.",Luogo del divertimento, 12 novembre 2015,Monica B,5.0
5707,Bellissimo in ogni periodo dell'anno. Ogni volta che ci passo non riesco a fare a meno di farci una foto. Durante il periodo natalizio c'è un'atmosfera magica,Spettacolare, 27 dicembre 2019,Elena,5.0
5708,"nel cuore di Milano a due passi dal duomo,una chiesa accogliente nella sua piccola magnificenza dove l'acustica e la beltà fanno da padroni.",monumento sublime, 14 marzo 2017,Olgaporima,5.0
5709,Tappa immancabile della visita a New York ma che comunque non emoziona più di tanto.Sorprende sempre vedere come siano molto curati gli spazi verdi a Manhattan.,Bello ma non andrei a New York per il parco, 22 agosto 2022,fanta1000,4.0
5710,"Meravigliosa ed ecosostenibile la cupola di Norman Foster che ti permette la vista a 360 gradi di Berlino con l’audiogiuda Che ti spiega passo per passo ogni cosa nella tua lingua. Personale gentile e qualificato, già in possesso di tutti i nostri dati, si è rivolto a noi con delicatezza, cosa non comune a Berlino","Norman Foster, architetto geniale", 31 marzo 2019,Alessandra Cason,5.0
5711,"Ottimo percorso in una città piena di contrasti che sta cercando di rammendare la cesura durata 30 anni!Numerosi angoli da sbirciare e godere in un clima di tranquillità.East side city vale una visita, ma in mitte troviamo i più bei palazzi, alcuni ancora in costruzione.",Due giorni per approfondire le ragioni della costruzione del muro e della sua caduta, 7 agosto 2019,manu p,4.0
5712,"Un parco di queste dimensioni in mezzo ai grattaceli...bellissimo, tenuto benissimo, un polmone verde e un momento di relax per la visita frenetica della grande mela",Unico, 21 agosto 2016,Discoverychef,5.0
5713,"In visita (non organizzata) a Madrid per tre giorni con mia moglie nel periodo pasquale di quest'anno, tappa obbligata all'imperdibile Museo del Prado. Tanto per fare qualche nome: opere di Velazquez, El Greco, del grandissimo Francisco Goya (celeberrima la sua Maha desnuda, e ancora più emozionante vedere, di fianco, la Maha vestida!)...e poi Tiziano, Caravaggio, tanti autori fiamminghi. Insomma, passare da una Stanza all'altra, anche senza guida, provoca stupore e meraviglia di fronte a tante bellissime opere d'arte !Certamente non bastano un paio d'ore per un tour completo, ma si riescono ad ammirare i capolavori più importanti. Assolutamente da vedere!!",Imperdibile a Madrid!, 7 giugno 2018,Adele D,5.0
5714,"Di giorno e di sera sempre pieni di passegio. I negozi, le bancarelle,i ristorantini e i localini per noi giovani sempre pieni, bel posto.",pieni di vita, 5 novembre 2014,francesca b,5.0
5715,Una delle chiese più significative del panorama milanese. E' stata ristrutturata finemente negli ultimi tempi e nel retro inaspettato si erge un organo da 5 stelle circondato dai banchi del coro. Pareti affrescate da affreschi meravigliosi. Un capolavoro da visitare! e.. gratis.,Capolavoro!, 4 maggio 2013,ildan1980,5.0
5716,Davvero rigenerante correre nel famoso parco della mela tra scoiattoli e altri malati di mente come te che vanno a correre a Santo Stefano :-) Esperienza da fare ... ,Corsetta mattutina , 27 dicembre 2016,DamianoLo,5.0
5717,"Bellissimo!!! specialmente se visitato con figli adolescenti, molto toccante creativo, pieno di colori e speranza per un futuro senza più confini!!!",Il dolore di un popolo, 29 agosto 2017,Ssimonci,5.0
5718,"Non avevamo inserito questo museo nel nostro breve itinerario berlinese ma una volta lì è stato impossibile resistere. La mostra permanente è davvero ben organizzata e dettagliata, in tedesco e inglese.",Interessante scoperta, 12 dicembre 2017,Erica_Lauteri,5.0
5719,"Merita una visita, per forza. Peccato per i turisti ignoranti che si fanno i selfie con dietro il muro, sono davvero odiosi.",da vedere, 1 dicembre 2018,snap25,5.0
5720,"Faticosissimo andare su senza ascensore, ma quando arrivi in cima è uno splendore. Chi visita Milano dovrebbe vederlo.",Molto bello, 29 giugno 2019,Furio Sclano,4.0
5721,"Vivace zona piena di ottimi bar per aperitivo (- cena pre bevande e buffet) . Ci sono un sacco di posti anche buffet fantastica che si può agire come la vostra cena effettivo. La meta preferita di miniera è il Mayflower Pub, che offre piatti di pasta, una selezione di verdure, una varietà di salumi e formaggi, e anche le fragole, cioccolato e banchi macarons multigusto per dessert, più un drink, il tutto per 8 euro. I cocktail sono da non perdere!",Da non perdere, 10 ottobre 2014,ItalyBaby,5.0
5722,"Bell'edificio dall'esterno, sarebbe stato bello poterlo visitare. Purtroppo non ci siamo riuscite, bisognava prenotarsi online e in due giorni avremmo potuto effettuare la visita. ",Prenotatevi online , 28 gennaio 2019,Martina L,3.0
5723,Impensabile la.maestoaita la grandezza la generosità delle sale che racchiudono secoli di pittura di cui molta.italiana .La forza della capacità artistica di rappresentazione nn può essere lasciata per.ultima...se visitate Madrid prima.el.praso poi thyssein poi Reina Sofia...altrimenti si perde l'arte x la forza della sua magnificenza ! ,El Prado il museo, 31 marzo 2019,silark2018,5.0
5724,L'aspetto spoglio dell'esterno racchiude un interno completamente affrescato e architettonicamente bellissimo. ,Un luogo stupendo, 18 ottobre 2017,ele123viaggiatrice,5.0
5725,La Meraviglia Assoluta. Un gioiello milanese da vedere assolutamente soprattutto adesso che dopo i restauri si possono ammirare nel loro splendore i magnifici affreschi.,un gioiello, 13 agosto 2015,Alice C,5.0
5726,"Pieno di suggestioni e sorprese pittoriche, in un ambiente fermo nel tempo. Merita sicuramente una visita!",Un posto magico!, 4 febbraio 2018,Vincenzodf,5.0
5727,Parco ben curato nei viali e con molte attrazioni nei vari percorsi. Un poco di tristezza per gli animali dello zoom,Ben curato, 4 giugno 2017,fed62,5.0
5728,"ero stata alcuni anni fa e non li ricordavo così belli, probabilmente il quartiere è stato riqualificatobelli gli edifici lungo i navigli e particolari i cortili che vi si affacciano, la zona è molto pulita e ricca di locali ideale per una passeggiata",passeggiata sui navigli, 4 gennaio 2017,enxaci,5.0
5729,"Un parco spettacolare, un cuore di verde in una metropoli stupenda. Consigliato? No... di più!  Bellissimo!",Bellissimo, 7 giugno 2018,marleri,5.0
5730,"Carino ma non mi ha colpito particolarmente... alla fine è  un parco.. Consiglio sicuramente di vederlo in bicicletta in una bella giornata  di sole. È  molto grande quindi  in bici si gira facilmente, ed è  più  divertente. Si affittano dentro al parco o poco prima del parco e costa poco il noleggio. C'è  anche un laghetto dove si possono noleggiare le barche a remi. Da vedere,  ma non perdete una giornata intera qui dentro. 2 ore  in bici bastano e avanzano",Da vedere senza perderci troppo tempo, 2 maggio 2018,Majorica89,3.0
5731,Una perla! Ottimamente restaurata. Molto disponibili i volontari del TCI. Ho avuto la fortuna di entrarci con la luce del sole che vi entrava dalla.parte posteriore  creando una atmosfera molto suggestiva. Tanto poco attraente la facciata sul Corso Magenta quanto bella all'interno.  Ingresso gratuito. Si possono scattate foto.,Bellissima, 6 gennaio 2017,Guido V,5.0
5732,"Central park...come descriverlo? È la pace, un mondo a parte. Rimani senza fiato dalla bellezza e dalla tranquillità che si respira. Noi l'abbiamo girato tutto, credo 😁, ed è stato uno dei giorni più belli. Camminare senza meta, sdraiarsi sul prato, osservare gli scoiattoli...solo a New York",Wow, 4 ottobre 2016,Elisa,5.0
5733,"merita merita merita....una chiesa poco 'pubblicizzata', eppure a poche centinaia di metri dal duomo di milano. affreschi molto interessanti e 'personale' volontario gentilissimo e preparato. se pensate di fare shopping nella zona di via torino - corso magenta, non perdete questa pausa di tranquillita' e cultura. ",sorpresa piacevolissima, 21 aprile 2016,pineider,5.0
5734,"Il parco più affascinate del mondo. Passeggiare in central park è come ripercorrere centinaia di set cinematografici che non gli rendono giustizia per la bellezza del luogo. Tappa obbligata al memorial john lennon, alla fontana di Alice.",Meraviglia, 12 novembre 2018,Giorgia,5.0
5735,Siamo stati durante la vittoria dello scudetto del milan! Bellissima la piazza del duomo e dentro spettacolare!,bello il duomo!, 27 maggio 2022,Mario F,5.0
5736,"Veramente stupendo, specialmente ora che è ripulito.Meraviglioso dona forti emozioni.Mi sono pentito di non aver visitato la parte superiore, ma mi sono ripromesso di visitarla alla mia prossima gita. ",Meraviglioso, 17 febbraio 2020,Gianfederico Pietrantoni,4.0
5737,I film non rendono giustizia a qst parco nel quale trovi un'atmosfera diversa da new york... un mondo dentro una citta5,Magia nel parco, 17 febbraio 2017,Natascia R,5.0
5738,"Veramente  stupendo  central Park , sedersi nelle panchine con il panorama naturalistico  stupendo, curato,  con tutto molto attento  ai particolari. Avere la possibilità  di  farsi un  giro con il cavallo    o con le bici  a quattro ruote  per  avere una visione completa   del  parco.",Central  Park NY., 8 settembre 2015,BetriceO,5.0
5739,"È ""Il Parco"" per eccellenza! Un angolo di paradiso nella caotica e affascinante ante New York!!! da non perdere!",bellissimo, 4 gennaio 2016,camarella,5.0
5740,"Parco stupendo, una zona verde nel centro di Manhattan, posto bellissimo, da andarci assolutamente, posto fantastico ",Bellissimo, 26 marzo 2019,Justin Di Santo,5.0
5741,"Bellissima, soprattutto di notte ha un non so che di magico. Situata a pochi passi da punti di interesse per turisti è una tappa obbligatoria per tutti quelli che visitano la città. ",Bellissima, 18 agosto 2019,Paola1094,5.0
5742,"Almeno una volta nella vita bisogna vederlo,specialmente nel periodo natalizio!!!! Ha un fascino assoluto e non si da molta fatica a raggiungerlo grazie alle Metro.. circondato da negozi e opere d'arte architettoniche pazzesche!!!!",Meravigliaaaa!!!!, 10 dicembre 2019,Show.Iri,5.0
5743,"Finalmente il fidanzato mi ci ha portata, in posto romantico da visitare al tramonto, farsi una passeggiata e cenare in riva al canale. Bello!",romantico, 10 marzo 2018,paolaedris,5.0
5744,"Non entravo dentro da almeno 10 anni, sempre emozionate !In questo periodo essendoci pochi turisti, non bisogna neanche fare lunghe code, quindi è un passaggio obbligato !",Sempre al top, 25 settembre 2020,F.D,5.0
5745,"A piedi qui dal centro che è durato circa 30 minuti, ma che l'atmosfera era rilassante. La gente dove sedersi sui lati del canale e sulla sinistra c'erano molti ristoranti tra cui scegliere, ci siamo fermati al ""Trattoria Milanese"" che era un ottimo ristorante molto cordiale il servizio e il cibo ha drammatica compreso il dessert amaretto! !Sicuramente visitare dato che ci sono molti cocktail bar che offrono happy hour molto spesso!",Splendido canal area, 25 aprile 2017,Jessica,5.0
5746,"Museo bellissimo e con talmente tante cose da vedere da necessitare di più visite. Per contro, l'assenza di indicazioni e le mostre divise in diverse stanze/piani rendono il museo un po' dispersivo",Bello ma dispersivo, 12 giugno 2022,Andrea P,4.0
5747,"Una tappa imperdibile, un tratto di muro rimasto in piedi nella Berlino est. Lungo circa 1 km e 300 metri, lungo i quali numerosi artisti hanno reso quelle lastre di cemento un opera d'arte grazie a murales molto significativi.Un percorso tra colori e interpretazioni di una storia recente che ha segnato la città.Assolutamente da vedere ",Tappa imperdibile , 9 ottobre 2018,Ippoedixon,5.0
5748,Sempre bello e coinvolgente andare a Milano vedi sempre cose nuove e cose antiche ancora incantevoli oltre a tanta gente,Unico, 12 gennaio 2019,Christopher M,5.0
5749,"bellissimo e ben tenuto e curato. noi abbiamo comprato i biglietti on line, ""Duomo Pass"" nel quale è inclusa la visita anche alle terrazze.Consiglio di iniziare proprio dalle terrazze così poi da lì scendete direttamente dentro il Duomo; facendo così farete solo una fila altrimenti dovete fare prima la fila per entrare in cattedrale poi uscire e fare la fila per le terrazze",bellissimo, 3 ottobre 2018,romidab,5.0
5750,Ho visitato con mia moglie quest'area dei Navigli che Leonardo Da Vinci aveva progettato e realizzato. In questi ultimi anni la darsena è stata pulita e rinnovata mantenendo tutta la sua bellezza e storicità. Numerosi i locali per mangiare e i bar.,Opera di Leonardo Da Vinci, 26 dicembre 2016,Angelo P,5.0
5751,Parco stupendo ed enorme che non sembra nemmeno di essere al centro di una metropoli come New York da vedere assolutamente. ,Stupendo, 21 ottobre 2018,Davide !,5.0
5752,"NY e' una citta' affascinante ma estremamente rumorosa. Una sosta a Central park e' consiglliata per esempio per mangiare seduti sull'erba, magari con cibo acquistato nel negozio Whole Foods di Columbus circle. Altrimenti si puo' noleggiare le bici ma attenzione: il parco obbliga ad un percorso circolare (in senso antiorario) non si puo' entrare nelle viuzze centrali del parco in bici (se non al passo) quindi non si riesce a vedere molto. Per il giro completo del perimetro del parco e qualche foto considerate che e' opportuno noleggiare le bici almeno per 2 ore. Pero' per gustare la zoan centrale,meglio entrarci a piedi",Relax dal frastuono di NYC, 26 dicembre 2016,Claudio55555,4.0
5753,"Aria di rinascita, colori che vogliono dimenticare il grigiore della guerra, tanti artisti uniti per un solo scopo.Il muro della vergogna adesso colora di vittoria",Rinascita, 19 marzo 2019,Ester B,4.0
5754,"A pochi metri dalla porta di Brandeburgo, trovate il memoriale dell'olocausto. Che dire.... Suggestivo e coinvolgente, camminare tra i pilastri di cemento.Se state in zona, vale la pena passare.",Suggestivo, 27 ottobre 2019,nedel_moco,5.0
5755,È sempre un piacere trascorrere mezza giornata in giro per i Navigli a Milano!!affascinante e caratteristica la zona e i molteplici locali che ne fanno da cornice!!Passeggiate lungo le sponde del fiume e fermatevi a mangiare in una delle trattorie e osterie in zona!!Consigliato anche per lo shopping alternativo!!,Bellissima zona!, 14 novembre 2016,filiciotto,4.0
