Name,OVR,Stat1_PAC_GK-DIV,Stat2_SHO_GK-HAN,Stat3_PAS_GK-KIC,Stat4_DRI_GK-REF,Stat5_DEF_GK-SPD,Stat6_PHY_GK-POS,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Alternative positions,Age,Nation,League,Team,play style,Height_cm,Weight_kg
Francis Amuzu,72,92,65,65,75,37,60,92,92,68,62,70,67,61,58,62,62,64,68,64,63,74,93,86,68,72,62,28,42,33,41,46,65,73,56,51,LW,5,4,Right,"RW, LM",25,Belgium,1A Pro League,RSC Anderlecht,"Rapid, Trickster, Trivela",170.0,65.0
Mikael Anderson,72,79,65,69,75,64,73,79,79,69,67,68,63,62,50,73,68,62,69,66,68,74,82,83,70,74,75,65,60,65,66,60,76,86,68,70,CAM,4,3,Right,LM,26,Iceland,3F Superliga,AGF,"Finesse Shot, Flair, Press Proven, Relentless",180.0,69.0
Jaidon Anthony,72,77,66,68,74,39,63,75,78,67,69,63,64,61,65,70,71,61,68,60,71,75,71,71,66,74,73,29,52,38,48,24,67,71,64,48,LM,3,3,Right,LW,24,England,EFL Championship,Burnley,"Finesse Shot, Technical",183.0,72.0
Shinta Appelkamp,72,66,61,70,77,37,47,79,55,65,68,50,59,52,46,74,64,47,75,69,61,77,90,85,71,75,69,39,34,40,35,37,47,72,39,36,CAM,3,3,Right,"CM, LM",23,Germany,Bundesliga 2,Düsseldorf,"First Touch, Flair, Technical, Tiki Taka, Trivela",175.0,70.0
Dennis Appiah,72,70,39,59,65,72,74,68,71,51,33,51,38,34,47,59,60,44,62,56,60,61,74,69,67,67,67,73,58,75,72,70,68,89,68,71,RB,3,2,Right,CB,32,France,Ligue 1 McDonald's,AS Saint-Étienne,None,179.0,68.0
Lucas Arce,72,88,43,63,71,63,61,86,90,58,38,51,42,34,44,57,70,40,68,59,67,71,83,87,67,67,66,67,43,59,68,67,57,85,45,72,RB,3,3,Right,None,27,Argentina,Primera División,Godoy Cruz,None,174.0,69.0
Daniel Armstrong,72,80,67,69,72,53,67,84,77,67,67,72,67,55,66,73,74,75,64,63,79,73,78,87,68,67,67,61,44,50,55,51,63,77,58,77,RM,3,4,Left,"RB, RW",26,Scotland,Scottish Prem,Kilmarnock,"Dead Ball, Flair, Whipped Pass",175.0,64.0
Toluwalase Arokodare,72,73,69,50,64,30,80,67,78,72,72,73,60,65,66,50,35,55,59,45,57,66,54,35,69,70,63,15,77,22,35,21,90,69,91,64,ST,3,2,Right,None,23,Nigeria,1A Pro League,KRC Genk,None,197.0,97.0
Yáser Asprilla,72,77,68,69,75,50,62,78,76,69,68,74,70,48,54,72,67,53,70,68,73,77,82,67,65,75,70,44,42,52,55,45,63,68,63,51,RW,3,3,Left,"RM, CAM",20,Colombia,LALIGA EA SPORTS,Girona FC,Incisive Pass,175.0,75.0
Tommaso Augello,72,72,55,68,71,67,59,70,74,65,49,64,57,62,48,62,79,58,68,63,75,70,75,77,67,72,69,70,59,66,69,67,61,75,50,62,LB,2,3,Left,LM,30,Italy,Serie A Enilive,Cagliari,Whipped Pass,180.0,70.0
Kouame Autonne,72,72,29,52,51,72,80,66,77,27,27,39,21,31,32,48,38,25,63,60,44,41,65,52,64,56,59,72,70,69,75,69,81,76,86,68,CB,2,2,Left,None,23,United Arab Emirates,United Emirates League,Al Ain FC,None,188.0,83.0
Gustavo Sá,72,74,68,72,73,70,68,73,75,70,68,71,66,65,69,74,69,67,74,70,74,71,73,74,72,75,74,69,68,69,71,69,80,41,77,74,CAM,3,3,Right,CM,19,Portugal,Liga Portugal,FC Famalicão,Incisive Pass,186.0,80.0
Matthias Bader,72,71,41,61,69,68,69,74,69,49,40,45,41,31,40,50,67,36,71,54,58,67,76,77,70,70,66,69,48,71,69,69,64,83,63,68,RB,3,3,Right,RM,27,Germany,Bundesliga 2,SV Darmstadt 98,"Block, Relentless",176.0,73.0
Stefan Bajcetic,72,66,52,66,72,69,66,67,66,52,50,56,52,50,48,66,55,49,74,71,59,73,64,62,68,75,77,71,54,68,71,72,64,68,63,70,CDM,3,3,Right,CM,19,Spain,Ö. Bundesliga,RB Salzburg,None,185.0,77.0
Tiemoué Bakayoko,72,51,50,65,67,71,77,49,52,59,42,72,50,36,45,70,55,37,72,68,51,68,52,50,69,72,74,70,70,70,73,72,74,66,81,80,CDM,3,3,Right,CM,30,France,Hellas Liga,PAOK FC,None,189.0,85.0
Mitchel Bakker,72,79,59,67,71,71,75,78,80,68,59,75,47,38,48,58,70,46,74,68,59,74,64,64,69,71,63,69,70,71,73,69,82,72,74,79,LM,2,2,Left,"LB, LW",24,Holland,Ligue 1 McDonald's,LOSC Lille,Rapid,185.0,87.0
Lameck Banda,72,88,66,60,77,30,43,88,88,70,65,66,63,73,66,55,65,49,62,56,65,82,76,86,70,72,65,25,48,22,35,28,56,58,35,41,LW,4,3,Right,LM,23,Zambia,Serie A Enilive,Lecce,Rapid,162.0,69.0
Barry Bannan,72,59,63,73,75,58,61,65,54,63,56,69,70,72,63,76,71,67,72,76,75,70,90,92,73,74,75,61,42,62,56,63,45,83,44,78,CM,3,3,Left,CDM,34,Scotland,EFL Championship,Sheffield Wed,"Dead Ball, Incisive Pass, Long Ball Pass, Press Proven, Slide Tackle",169.0,61.0
Gonçalo Franco,72,66,64,69,72,67,73,68,65,67,64,67,63,59,58,69,62,56,74,69,69,72,66,74,70,73,71,67,49,72,69,64,66,75,72,76,CDM,3,2,Right,CM,23,Portugal,EFL Championship,Swansea City,None,176.0,70.0
Federico Barba,72,68,31,60,62,73,74,69,68,27,21,49,31,35,45,50,66,29,67,62,50,59,69,47,70,63,68,72,71,75,73,69,81,69,77,72,CB,3,2,Left,None,31,Italy,Serie A Enilive,Como,"Block, Intercept, Long Ball Pass, Slide Tackle",185.0,80.0
David Barbona,72,76,66,73,72,38,65,75,77,73,65,68,69,60,59,75,74,67,73,73,71,74,72,64,68,73,65,30,45,39,40,38,66,69,70,48,CAM,4,4,Right,"RM, CM",29,Argentina,Sudamericana,Defensa,Flair,174.0,78.0
Hernán Barcos,72,49,74,66,65,46,76,49,49,78,77,76,67,68,76,70,57,65,70,64,66,65,41,46,65,75,77,52,78,41,40,38,83,61,87,67,ST,5,3,Right,None,40,Argentina,Libertadores,Alianza Lima,"Chip Shot, Finesse Shot",187.0,91.0
Borna Barišić,72,68,63,75,69,67,69,69,67,68,55,75,65,61,66,70,82,80,73,68,87,68,69,63,65,71,69,69,65,65,69,69,74,71,72,59,LB,2,3,Left,None,31,Croatia,Trendyol Süper Lig,Trabzonspor,"Dead Ball, Whipped Pass",186.0,80.0
Kyle Bartley,72,48,29,49,48,71,82,46,49,35,26,43,20,23,40,38,39,34,63,53,33,44,34,36,67,56,66,69,71,72,72,67,71,68,90,83,CB,3,2,Right,None,33,England,EFL Championship,West Brom,"Aerial, Bruiser",194.0,94.0
Maximilian Bauer,72,54,26,48,52,74,73,53,54,22,22,39,21,31,37,38,31,24,65,57,32,46,50,58,74,57,53,72,71,77,74,70,77,64,79,69,CB,3,2,Right,None,24,Germany,Bundesliga,FC Augsburg,None,189.0,84.0
Jean-David Beauguel,72,63,73,52,64,31,79,64,62,74,74,76,67,69,69,58,30,52,62,52,55,66,52,34,62,68,68,34,79,20,28,23,82,62,92,67,ST,3,3,Left,None,32,France,CSL,Qingdao W. Coast,Power Header,196.0,96.0
Timo Becker,72,79,49,60,65,69,77,73,83,52,49,53,49,33,49,47,65,33,70,60,41,68,51,56,65,67,62,68,69,70,71,66,81,77,79,69,RB,3,2,Right,"CB, RM",27,Germany,Bundesliga,Holstein Kiel,"Aerial, Anticipate, Rapid",190.0,86.0
Abdelkader Bedrane,72,61,30,55,53,72,76,54,67,35,24,49,25,17,39,37,42,28,72,71,31,46,42,50,68,64,62,74,74,71,71,72,78,74,79,68,CB,2,2,Right,None,32,Algeria,ROSHN Saudi League,Damac FC,"Aerial, Intercept, Long Ball Pass",186.0,81.0
Felix Beijmo,72,85,51,64,68,64,76,83,87,60,50,66,45,32,38,60,69,41,66,63,68,65,72,75,68,69,64,64,60,63,66,63,81,89,74,64,RB,3,2,Right,None,26,Sweden,3F Superliga,AGF,None,186.0,81.0
Kristijan Belić,72,65,54,67,66,72,74,74,57,51,44,67,65,57,53,65,64,49,71,70,67,66,69,70,69,67,56,71,66,73,72,74,75,81,69,78,CDM,3,2,Right,CM,23,Serbia,Eredivisie,AZ,Bruiser,177.0,71.0
Dion Drena Beljo,72,59,71,49,68,31,73,55,63,74,72,77,64,72,68,43,34,41,64,41,59,71,52,39,69,72,70,25,76,23,31,23,83,63,82,61,ST,4,3,Left,None,22,Croatia,Ö. Bundesliga,SK Rapid,None,195.0,84.0
Stefan Bell,72,34,38,52,48,74,71,33,34,32,31,64,30,32,31,47,43,40,60,64,33,46,34,33,72,50,76,74,79,76,75,64,70,40,85,73,CB,2,2,Right,None,33,Germany,Bundesliga,1. FSV Mainz 05,None,192.0,88.0
Alessandro Bellemo,72,50,62,70,70,64,70,51,49,62,59,68,60,65,62,66,64,62,78,72,58,68,65,70,68,75,68,71,58,62,65,63,61,93,62,65,CDM,2,2,Right,CM,29,Italy,Serie BKT,Sampdoria,"Anticipate, Incisive Pass, Relentless, Slide Tackle",184.0,82.0
Mohamed Ali Ben Romdhane,72,70,71,71,70,63,70,72,68,68,68,71,82,56,75,71,58,76,75,73,76,71,69,56,72,71,68,67,50,64,64,57,70,68,74,62,CAM,4,3,Right,CDM,25,Tunisia,Magyar Liga,Ferencvárosi TC,"Dead Ball, First Touch, Flair",186.0,78.0
Sofiane Bendebka,72,74,66,68,73,61,73,77,71,75,69,66,57,67,67,69,61,53,71,72,64,73,74,75,75,72,67,67,63,58,62,53,75,91,66,68,CM,2,3,Right,"CAM, CDM",32,Algeria,ROSHN Saudi League,Al Fateh,"Relentless, Technical",185.0,74.0
Adrian Benedyczak,72,88,71,65,69,32,76,91,86,68,73,73,67,59,81,65,67,44,69,60,62,72,67,59,64,69,53,29,70,33,24,24,89,76,80,63,LM,3,3,Right,"ST, RM, LW",23,Poland,Serie A Enilive,Parma,None,191.0,78.0
Jessy Benet,72,59,66,73,70,61,78,52,65,69,64,72,68,54,70,71,72,72,75,72,68,67,73,69,68,74,68,61,60,61,64,54,71,89,80,63,CM,3,3,Left,CDM,29,France,Ligue 2 BKT,Grenoble Foot 38,"Long Ball Pass, Relentless",186.0,75.0
Daniel Bentley,72,73,67,69,73,46,72,48,43,12,11,52,13,13,22,50,18,12,43,26,12,17,51,41,72,30,55,22,11,30,11,13,64,31,67,24,GK,3,1,Right,None,31,England,Premier League,Wolves,None,188.0,73.0
Bartosz Bereszyński,72,76,56,64,69,67,72,74,78,59,50,64,62,56,50,58,70,50,68,59,63,68,69,71,66,70,69,67,58,66,69,70,72,81,68,71,RB,3,3,Right,CB,32,Poland,Serie BKT,Sampdoria,Relentless,182.0,77.0
Paul Bernardoni,72,73,70,69,71,29,72,31,27,15,13,52,16,17,19,24,12,18,28,24,15,16,21,34,68,25,55,25,21,16,12,18,62,36,68,29,GK,2,1,Left,None,27,France,CSSL,Yverdon Sport FC,"Cross Claimer, Footwork",193.0,92.0
Matúš Bero,72,70,71,69,71,70,81,68,71,74,70,75,71,69,67,68,66,64,71,70,69,71,69,73,72,72,68,66,68,76,68,65,78,90,78,79,CM,3,3,Right,"CAM, RM",29,Slovakia,Bundesliga,VfL Bochum 1848,Relentless,181.0,81.0
Benjamín Berríos,72,71,58,67,73,68,72,74,69,66,60,60,55,43,48,71,54,44,77,69,47,68,83,88,71,74,70,73,40,70,73,68,60,92,64,72,CM,3,2,Right,CDM,26,Chile,Sudamericana,Everton,None,169.0,67.0
Andrea Bertolacci,72,55,69,73,73,71,64,57,53,72,65,75,72,69,56,72,71,64,76,76,70,72,70,77,67,74,75,70,64,75,71,70,65,60,61,75,CM,3,3,Left,"CAM, CDM",33,Italy,Serie BKT,Cremonese,"Flair, Technical",179.0,72.0
Pietro Beruatto,72,78,51,60,65,68,69,75,80,42,45,64,55,51,48,48,66,44,65,60,60,65,71,60,63,67,56,68,64,68,70,70,75,80,68,57,LB,3,2,Left,None,25,Italy,Serie BKT,Pisa,"Relentless, Whipped Pass",185.0,76.0
Ermin Bičakčić,72,54,37,49,47,71,76,34,70,33,24,59,45,42,36,41,38,28,60,58,32,35,52,59,71,55,63,71,73,71,71,70,73,63,82,80,CB,3,2,Right,None,34,Bosnia and Herzegovina,Bundesliga 2,Braunschweig,"Block, Bruiser",185.0,85.0
Krystian Bielik,72,55,46,63,66,71,79,53,57,58,36,62,48,46,42,66,49,45,69,70,52,68,56,52,69,67,71,70,72,72,71,68,78,72,81,82,CDM,3,3,Right,"CM, CB",26,Poland,EFL League One,Birmingham City,"Anticipate, Slide Tackle",192.0,78.0
Stipe Biuk,72,83,64,65,73,38,62,82,84,70,68,69,53,49,56,71,66,59,64,60,55,75,74,58,67,75,59,38,48,35,37,39,67,72,60,53,LM,5,3,Right,"RM, LW",21,Croatia,Liga Hrvatska,Hajduk Split,Technical,182.0,70.0
Sebastián Blanco,72,65,70,72,72,32,58,67,63,73,68,70,74,72,62,74,77,61,71,71,74,73,73,74,70,73,62,32,60,30,28,26,65,51,56,69,CAM,5,3,Right,LM,36,Argentina,Libertadores,San Lorenzo,Technical,170.0,68.0
Alexis Blin,72,31,54,63,65,69,77,31,31,58,51,63,52,48,52,57,59,46,70,68,62,64,64,70,74,65,70,75,58,67,71,70,60,85,74,80,CDM,3,2,Right,"CM, CB",27,France,Serie BKT,Palermo,None,184.0,78.0
Lucas Blondel,72,79,61,60,70,68,70,75,82,65,55,76,60,43,73,50,62,48,70,56,50,70,71,71,68,70,73,69,50,70,71,68,67,83,65,65,RB,2,3,Right,None,28,Argentina,Sudamericana,Boca Juniors,"Block, Jockey, Relentless",178.0,75.0
Myron Boadu,72,81,72,61,74,28,64,82,80,76,73,76,67,72,66,66,52,59,67,54,62,72,84,74,72,73,73,23,63,29,22,18,78,67,67,47,ST,5,3,Right,None,23,Holland,Bundesliga,VfL Bochum 1848,"Rapid, Trivela",181.0,67.0
Oscar Bobb,72,80,62,71,79,33,41,84,76,64,64,66,54,55,63,72,60,58,79,73,67,81,81,80,62,79,68,24,48,32,34,31,46,50,34,44,RW,3,4,Left,RM,21,Norway,Premier League,Manchester City,"Incisive Pass, Technical",174.0,73.0
Bruno Gaspar,72,79,58,68,73,68,68,77,80,73,50,73,60,60,48,67,70,38,71,65,74,72,74,76,74,74,72,72,60,69,67,66,74,74,65,67,RM,2,3,Right,"RB, RW",31,Angola,Liga Portugal,Vitória SC,None,178.0,70.0
Daniel Boloca,72,59,59,70,74,63,72,58,60,60,55,67,63,53,52,71,57,46,78,74,64,74,70,53,70,79,70,61,52,64,68,64,64,80,71,68,CDM,3,3,Right,CM,25,Romania,Serie BKT,Sassuolo,"Anticipate, Press Proven",188.0,80.0
Toni Borevković,72,45,30,46,49,73,77,38,51,27,26,40,28,31,44,28,31,30,65,58,34,43,32,32,63,61,58,71,72,73,74,73,74,67,84,74,CB,3,2,Right,None,27,Croatia,Liga Portugal,Vitória SC,Long Ball Pass,194.0,86.0
Sebastián Boselli,72,75,50,66,66,70,77,70,79,67,44,55,57,33,49,67,64,57,71,70,40,62,68,67,66,71,65,71,72,68,70,71,82,75,78,75,CB,3,2,Right,RB,21,Uruguay,Libertadores,Estudiantes,None,183.0,82.0
Eric Botteghin,72,31,35,46,49,72,82,32,30,23,25,59,40,22,42,32,30,23,64,60,25,48,31,32,65,54,67,67,77,74,72,69,79,66,92,76,CB,2,2,Right,None,37,Brazil,Serie BKT,Modena,"Block, Intercept, Long Ball Pass",193.0,89.0
Walter Bou,72,68,74,62,72,49,70,69,67,77,76,77,67,63,71,67,66,63,59,57,70,70,75,80,74,71,71,53,67,33,55,50,72,79,66,66,ST,4,3,Right,"CAM, LW",31,Argentina,Sudamericana,Lanús,Trivela,174.0,74.0
Róbert Boženík,72,74,72,63,67,32,74,74,74,74,73,77,67,65,64,66,56,47,68,62,59,66,66,63,69,70,67,24,69,32,27,25,81,74,76,69,ST,4,3,Right,None,24,Slovakia,Liga Portugal,Boavista FC,None,188.0,80.0
Pedro Rebocho,72,76,57,68,72,66,74,78,75,68,45,72,69,49,53,55,70,68,72,72,72,71,77,83,66,70,69,66,62,64,68,70,77,85,70,68,LB,2,3,Left,None,29,Portugal,ROSHN Saudi League,Al Khaleej,None,171.0,73.0
Matthias Braunöder,72,80,58,71,76,65,62,84,76,62,45,68,74,65,54,70,67,66,75,70,69,73,88,87,73,75,72,67,46,66,69,67,56,92,43,71,CM,3,3,Right,CDM,22,Austria,Serie A Enilive,Como,"Anticipate, Relentless",174.0,67.0
Yanick Brecher,72,71,71,69,73,40,73,38,42,18,13,52,18,18,24,61,19,17,37,47,18,16,37,44,68,24,56,21,13,24,20,20,62,24,67,26,GK,3,1,Right,None,31,Switzerland,CSSL,FC Zürich,"Far Throw, Footwork, Long Ball Pass",196.0,88.0
Nathan Broadhead,72,79,71,66,73,36,66,81,78,71,73,72,68,63,64,68,68,65,67,58,68,74,75,74,68,73,65,32,65,39,28,30,77,68,64,65,LM,4,3,Right,LW,26,Wales,Premier League,Ipswich,Incisive Pass,178.0,73.0
Alan Browne,72,70,69,70,72,69,78,70,70,68,67,75,68,69,68,70,67,64,72,70,64,70,74,75,72,72,73,69,69,69,70,67,76,89,72,80,CM,4,3,Right,"CAM, RB",29,Republic of Ireland,EFL Championship,Sunderland,Relentless,179.0,74.0
Gaston Brugman,72,70,68,71,73,69,72,73,68,65,60,80,75,61,67,69,62,68,76,75,74,72,75,83,70,72,72,69,55,68,73,69,71,79,69,69,CM,3,3,Right,CDM,32,Uruguay,MLS,LA Galaxy,"Press Proven, Relentless",175.0,66.0
Gianni Bruno,72,70,74,66,71,39,66,73,67,76,76,72,73,67,70,68,63,66,68,63,62,72,71,70,69,70,68,36,69,38,36,26,75,66,67,59,ST,3,3,Right,RW,33,Belgium,Trendyol Süper Lig,Eyüpspor,None,180.0,73.0
Hugo Bueno,72,75,53,71,77,65,65,75,75,66,53,55,48,49,52,71,77,68,69,66,75,78,76,71,70,78,74,67,47,66,68,66,64,73,63,62,LB,2,3,Left,LM,21,Spain,Eredivisie,Feyenoord,None,180.0,73.0
Osman Bukari,72,85,67,61,75,37,65,87,83,70,67,67,71,58,61,67,59,48,66,46,61,76,85,83,66,72,69,28,46,21,56,38,69,73,63,61,RW,5,3,Right,"ST, RM",25,Ghana,MLS,Austin FC,"Flair, Technical",170.0,68.0
Cameron Burgess,72,51,37,56,54,72,80,50,52,55,38,45,26,23,43,54,40,30,69,67,37,45,45,55,67,65,69,70,72,72,73,71,79,74,86,72,CB,3,2,Left,None,28,Australia,Premier League,Ipswich,"Aerial, Bruiser, Long Ball Pass",194.0,81.0
Guido Burgstaller,72,53,74,66,69,39,81,53,53,77,74,80,69,70,69,68,69,44,71,58,64,67,67,62,74,72,75,34,74,35,39,21,79,79,82,82,ST,5,3,Right,None,35,Austria,Ö. Bundesliga,SK Rapid,Power Header,187.0,80.0
Wes Burns,72,91,67,63,73,60,74,92,90,69,68,71,64,54,63,63,71,46,64,53,67,70,85,87,65,72,68,61,64,62,58,56,82,87,70,65,RM,3,3,Right,RW,29,Wales,Premier League,Ipswich,"Quick Step, Rapid, Relentless, Trivela, Whipped Pass",179.0,68.0
Marnon Busch,72,81,53,63,70,66,74,84,79,53,44,75,59,34,36,45,73,74,69,55,60,70,72,70,68,69,65,64,57,65,70,68,79,73,74,73,RB,2,2,Right,None,29,Germany,Bundesliga,Heidenheim,None,182.0,79.0
Sam Byram,72,71,57,65,71,71,69,70,71,62,59,66,52,43,41,65,67,33,70,64,55,72,71,71,70,71,70,70,70,71,73,71,74,67,69,69,LB,4,3,Right,RB,30,England,EFL Championship,Leeds United,Block,183.0,72.0
Jimmy Cabot,72,84,66,67,76,64,58,83,84,68,70,65,66,54,53,59,73,51,72,63,60,75,87,92,74,73,72,66,56,63,66,63,67,70,50,62,RB,3,3,Right,RM,30,France,Ligue 1 McDonald's,RC Lens,Rapid,164.0,64.0
Liberato Cacace,72,71,60,66,69,68,76,72,71,71,59,62,59,51,55,65,64,59,70,60,65,69,68,75,68,68,72,66,65,68,71,70,78,82,75,70,LB,4,3,Left,LM,23,New Zealand,Serie A Enilive,Empoli,"Long Throw, Rapid",184.0,81.0
Déiber Caicedo,72,84,65,64,77,41,53,85,84,70,69,66,58,63,59,73,64,70,58,59,72,78,90,88,69,72,71,34,38,45,45,30,55,66,46,52,LM,3,4,Right,"LW, CAM",24,Colombia,MLS,Whitecaps FC,"Flair, Rapid",168.0,69.0
Mady Camara,72,70,71,71,71,74,83,70,70,72,68,84,70,66,54,68,69,55,77,70,69,70,78,72,65,71,70,74,70,75,75,72,81,83,82,85,CM,3,4,Right,CDM,27,Guinea,Hellas Liga,PAOK FC,None,182.0,80.0
Matteo Cancellieri,72,79,69,69,77,38,59,76,81,65,64,74,77,70,67,65,69,70,71,65,76,79,81,80,66,77,64,33,55,31,42,41,71,48,64,59,LW,3,4,Left,"CAM, LM",22,Italy,Serie A Enilive,Parma,"Rapid, Trivela",180.0,79.0
Antonio Candela,72,84,54,64,67,66,75,84,84,55,50,64,52,53,52,60,71,50,65,62,66,66,75,64,66,67,63,67,60,66,68,65,81,81,74,67,RB,3,2,Right,None,24,Italy,Serie A Enilive,Venezia,Whipped Pass,185.0,74.0
Víctor Cantillo,72,67,39,66,74,65,68,65,68,63,34,47,40,28,36,75,33,37,82,78,38,75,69,61,68,78,65,68,58,68,65,61,70,65,71,64,CDM,3,3,Right,CM,30,Colombia,Libertadores,Junior,None,180.0,70.0
Johan Carbonero,72,85,65,63,78,37,60,88,82,72,64,68,66,51,58,65,58,55,66,68,54,80,87,78,69,73,72,44,41,36,32,34,63,80,56,46,LW,4,3,Right,LM,25,Colombia,Sudamericana,Racing Club,"Quick Step, Rapid",170.0,71.0
Valentín Carboni,72,61,70,73,73,46,49,60,62,70,70,73,67,71,65,72,68,70,76,72,73,75,63,68,75,75,70,33,67,47,50,37,56,53,42,60,CAM,3,3,Left,"ST, RM",19,Argentina,Ligue 1 McDonald's,OM,None,185.0,78.0
Carlos Mané,72,90,67,64,77,41,62,90,90,66,63,77,66,72,65,66,62,47,66,60,81,78,91,84,65,71,71,49,64,38,34,33,78,67,60,57,LM,2,4,Right,"RW, RM, LW",30,Guinea-Bissau,Trendyol Süper Lig,Kayserispor,Rapid,173.0,63.0
Bernardo Vital,72,65,33,45,49,75,71,66,64,32,27,50,26,30,42,34,30,29,59,59,33,38,54,56,73,57,57,72,69,75,78,74,75,69,74,67,CB,3,2,Right,None,23,Portugal,LALIGA HYPERMOTION,Real Zaragoza,None,187.0,77.0
Óscar Cardozo,72,39,78,64,63,27,67,41,38,79,78,80,76,77,75,75,52,74,64,58,67,63,41,30,63,72,76,12,79,22,28,20,71,31,82,72,ST,3,3,Left,None,41,Paraguay,Libertadores,Libertad,"Power Header, Press Proven",193.0,87.0
Yago Cariello,72,70,74,53,65,24,80,77,64,74,77,75,68,72,76,55,38,57,62,42,62,61,68,54,71,70,63,14,74,18,19,22,90,74,85,71,ST,3,3,Left,None,25,Brazil,K League 1,Ulsan Hyundai,Aerial,186.0,82.0
Carmona,72,73,65,68,70,68,66,74,73,70,68,65,62,58,50,68,71,38,72,67,59,70,69,65,74,71,59,72,62,68,67,65,73,74,65,57,RM,3,3,Right,"RB, RW",22,Spain,LALIGA EA SPORTS,Sevilla FC,None,183.0,80.0
Dário Essugo,72,73,56,63,71,71,78,67,77,65,49,67,65,41,52,69,46,47,71,67,47,70,77,79,68,72,64,72,62,72,73,66,76,76,80,74,CDM,3,2,Right,CM,19,Portugal,LALIGA EA SPORTS,UD Las Palmas,None,178.0,80.0
Byron Castillo,72,89,56,65,68,64,65,89,89,70,56,60,52,40,50,65,70,55,68,59,51,64,78,89,67,68,69,67,66,65,62,60,77,85,59,54,RB,2,3,Right,RM,29,Ecuador,Libertadores,Barcelona SC,Rapid,171.0,64.0
Lukáš Červ,72,69,62,66,68,68,77,69,69,60,61,67,62,56,68,63,64,51,72,69,51,68,68,69,70,69,63,69,68,66,70,70,76,77,73,87,CDM,2,2,Right,CM,23,Czech Republic,Česká Liga,Viktoria Plzeň,"Bruiser, Relentless",182.0,74.0
Maxime Chanot,72,47,49,48,50,71,80,50,45,26,38,73,53,55,44,36,24,60,65,60,28,38,54,57,68,61,66,66,75,70,73,71,81,70,87,75,CB,3,2,Right,None,34,Luxembourg,MLS,LAFC,"Bruiser, Intercept, Power Header",186.0,84.0
Jhoanner Chávez,72,85,58,63,70,65,67,85,85,68,58,71,48,37,63,58,69,38,70,53,58,69,73,62,69,72,66,66,56,63,71,64,75,75,64,63,LB,2,3,Left,LM,22,Ecuador,Ligue 1 McDonald's,RC Lens,Quick Step,182.0,76.0
Leandro Chichizola,72,70,70,69,72,51,74,49,54,14,16,52,17,14,25,42,11,14,30,29,15,17,64,44,67,13,57,16,17,15,12,11,59,31,52,15,GK,3,1,Right,None,34,Argentina,Serie A Enilive,Parma,"Cross Claimer, Far Throw",185.0,80.0
Cho Gue Sung,72,78,71,52,68,30,79,75,80,72,74,71,64,66,70,53,42,44,63,42,58,67,80,58,73,69,58,23,72,30,23,20,87,79,83,69,ST,5,3,Right,None,26,Korea Republic,3F Superliga,FC Midtjylland,"Aerial, Power Header, Power Shot",188.0,82.0
Hamza Choudhury,72,64,50,66,67,73,74,65,64,56,45,68,45,49,45,59,61,54,75,69,58,64,74,71,65,68,69,74,64,73,73,76,73,69,71,88,RB,3,2,Right,"CDM, CM",26,England,Premier League,Leicester City,Slide Tackle,178.0,64.0
Chow Tim,72,73,65,70,71,67,75,71,74,65,62,69,68,62,65,73,63,69,71,73,66,68,76,73,74,73,72,71,60,68,69,61,75,84,72,69,CM,3,3,Right,CDM,30,Chinese Taipei,CSL,Rongcheng FC,"Long Ball Pass, Relentless",180.0,72.0
Anders Christiansen,72,69,71,70,74,65,72,72,66,74,70,71,73,65,70,71,66,69,72,73,69,72,85,84,76,71,74,70,62,62,65,66,72,80,64,82,CM,3,4,Right,CAM,34,Denmark,Allsvenskan,Malmö FF,"Technical, Trivela",175.0,68.0
Carney Chukwuemeka,72,65,65,68,76,50,63,65,65,70,67,65,62,55,58,72,60,52,73,70,63,79,69,70,72,77,73,50,47,48,53,50,61,63,65,57,CAM,4,4,Right,CM,20,England,Premier League,Chelsea,"First Touch, Flair, Technical",187.0,77.0
Ibrahim Cissé,72,68,38,64,64,72,75,66,69,55,34,45,38,33,34,56,64,41,71,70,53,60,74,74,69,66,59,72,71,73,73,66,81,75,77,70,CB,2,2,Right,None,28,France,Magyar Liga,Ferencvárosi TC,None,185.0,70.0
Zander Clark,72,73,68,70,77,31,72,31,31,13,16,53,13,12,24,63,10,12,30,19,11,12,64,51,64,24,57,19,25,15,14,12,63,24,66,37,GK,2,1,Right,None,32,Scotland,Scottish Prem,Hearts,Deflector,193.0,80.0
Matt Clarke,72,51,37,53,62,71,78,50,52,47,30,57,33,36,34,53,45,36,61,59,36,64,47,65,64,61,70,71,71,72,72,69,79,63,86,77,CB,3,3,Left,None,27,England,EFL Championship,Middlesbrough,"Bruiser, Power Header",185.0,83.0
