Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,num_alt_pos_att,num_alt_pos_cen,num_alt_pos_dif,ps_scoring,ps_scoring_plus,ps_passing,ps_passing_plus,ps_control,ps_control_plus,ps_defend,ps_defend_plus,ps_physical,ps_physical_plus,Primary_Position,Assigned_Cluster
Romain Del Castillo,79,84,76,78,81,42,65,79,88,78,74,78,78,69,74,77,78,70,80,76,82,82,90,81,72,80,78,35,63,32,48,45,74,66,62,69,RW,3,3,Left,"172cm / 5'8""",65kg / 143lb,RM,28,France,Ligue 1 McDonald's,Stade Brestois 29,"Flair, Technical, Trivela, Whipped Pass",0,1,0,0,0,0,0,2,0,0,0,1,0,RW,0
Ermedin Demirović,79,69,81,72,77,41,79,69,69,82,83,84,77,76,64,76,69,53,78,64,73,77,70,72,81,80,73,36,69,38,39,42,78,86,77,76,ST,3,3,Right,"185cm / 6'1""",84kg / 185lb,LM,26,Bosnia and Herzegovina,Bundesliga,VfB Stuttgart,"Finesse Shot, Flair, Relentless",0,1,0,1,0,0,0,1,0,0,0,1,0,ST,0
Sergiño Dest,79,91,60,75,82,72,69,90,91,73,59,65,62,46,39,76,76,43,80,71,74,84,88,81,77,80,75,72,59,71,76,75,76,77,62,73,LB,4,4,Right,"173cm / 5'8""",68kg / 150lb,RB,23,United States,Eredivisie,PSV,"Flair, Technical",0,0,1,0,0,0,0,2,0,0,0,0,0,LB,10
Boulaye Dia,79,81,80,62,77,27,75,78,83,78,83,84,69,75,81,65,50,49,72,54,56,78,73,70,78,77,75,23,74,28,17,14,87,70,81,62,ST,3,3,Right,"180cm / 5'11""",75kg / 165lb,,27,Senegal,Serie A Enilive,Latium,,0,0,0,0,0,0,0,0,0,0,0,0,0,ST,0
Samuel Lino,79,83,70,73,80,51,66,85,81,75,72,74,63,62,72,74,73,54,76,69,69,82,83,79,76,79,75,52,58,51,49,46,72,86,58,57,LM,3,3,Right,"170cm / 5'7""",69kg / 152lb,"LB, LW",24,Brazil,LALIGA EA SPORTS,Atlético de Madrid,,1,0,1,0,0,0,0,0,0,0,0,0,0,LM,0
Lucas Digne,79,73,68,78,76,76,74,76,70,73,60,81,76,68,60,75,86,83,77,73,83,76,72,78,76,77,79,75,71,76,77,78,80,80,69,76,LB,1,3,Left,"178cm / 5'10""",74kg / 163lb,,31,France,Premier League,Aston Villa,"Long Throw, Whipped Pass",0,0,0,0,0,0,0,0,0,0,0,0,0,LB,10
Axel Disasi,79,57,48,60,59,80,81,48,64,47,43,70,40,45,43,55,48,30,72,66,48,55,43,40,78,67,72,80,80,80,81,78,82,71,88,78,CB,2,2,Right,"190cm / 6'3""",86kg / 190lb,RB,26,France,Premier League,Chelsea,"Aerial, Block, Bruiser, Slide Tackle",0,0,1,0,0,0,0,0,0,3,0,1,0,CB,3
Alexander Djiku,79,75,43,67,69,79,81,73,77,55,34,61,42,40,43,61,63,43,75,69,59,65,68,65,76,75,77,79,77,81,78,77,88,77,82,83,CB,3,2,Right,"182cm / 6'0""",81kg / 179lb,,30,Ghana,Trendyol Süper Lig,Fenerbahçe,"Aerial, Intercept",0,0,0,0,0,0,0,0,0,1,0,1,0,CB,10
Cheick Doucouré,79,65,57,70,75,76,76,63,67,67,56,59,56,48,52,74,54,47,78,77,59,76,70,67,76,77,77,80,58,75,80,78,71,72,76,83,CDM,3,3,Right,"180cm / 5'11""",73kg / 161lb,CM,24,Mali,Premier League,Crystal Palace,"Anticipate, Intercept, Press Proven, Slide Tackle",0,1,0,0,0,0,0,1,0,3,0,0,0,CDM,10
Lewis Dunk,79,41,52,68,65,80,80,33,47,30,42,72,67,42,40,67,41,69,80,80,60,65,34,38,79,75,81,79,81,80,80,78,77,70,84,83,CB,3,2,Right,"192cm / 6'4""",88kg / 194lb,,32,England,Premier League,Brighton,"Long Ball Pass, Pinged Pass, Power Header",0,0,0,1,0,2,0,0,0,0,0,0,0,CB,3
Hugo Duro,79,73,79,67,76,47,75,72,74,83,83,79,72,74,69,68,66,51,71,66,52,76,69,69,79,77,78,50,82,44,40,40,88,75,77,68,ST,4,3,Left,"177cm / 5'10""",70kg / 154lb,,24,Spain,LALIGA EA SPORTS,Valencia CF,,0,0,0,0,0,0,0,0,0,0,0,0,0,ST,0
Marcus Edwards,79,85,70,72,85,30,48,87,84,78,71,70,71,69,58,75,73,60,75,60,76,85,92,90,78,84,73,30,37,32,28,24,53,73,39,40,RW,2,4,Left,"168cm / 5'6""",65kg / 143lb,"LW, ST, RM",25,England,Liga Portugal,Sporting CP,"First Touch, Flair, Quick Step, Technical",2,1,0,0,0,0,0,3,0,0,0,1,0,RW,0
Stephan El Shaarawy,79,82,75,76,83,49,62,83,82,76,72,75,78,85,72,78,76,72,77,70,85,83,92,80,76,83,77,36,65,65,42,35,77,66,63,51,LM,3,4,Right,"178cm / 5'10""",73kg / 161lb,"LW, CAM",31,Italy,Serie A Enilive,AS Roma,"Finesse Shot, Rapid",1,1,0,1,0,0,0,0,0,0,0,0,0,LM,0
Eljif Elmas,79,73,72,74,82,66,67,77,69,77,71,79,74,56,58,77,68,54,80,77,64,84,83,69,78,84,73,69,58,62,70,64,72,68,64,72,CAM,4,4,Right,"184cm / 6'0""",78kg / 172lb,"CM, LW",24,North Macedonia,Bundesliga,RB Leipzig,"Flair, Technical, Trivela",1,1,0,0,0,0,0,2,0,0,0,1,0,CAM,10
Aritz Elustondo,79,64,39,64,61,80,77,60,67,38,35,44,42,37,43,32,72,41,81,65,53,48,58,56,84,77,77,82,80,81,79,78,82,70,77,83,RB,3,2,Right,"180cm / 5'11""",71kg / 157lb,CB,30,Spain,LALIGA EA SPORTS,Real Sociedad,"Jockey, Long Ball Pass",0,0,1,0,0,1,0,0,0,1,0,0,0,RB,1
Lewis Ferguson,79,75,78,75,80,73,82,74,75,84,78,78,76,76,80,79,67,67,79,76,69,79,78,76,74,83,75,74,76,70,74,69,84,94,75,85,CM,4,3,Right,"181cm / 5'11""",75kg / 165lb,CAM,25,Scotland,Serie A Enilive,Bologna,"Anticipate, Relentless",0,1,0,0,0,0,0,0,0,1,0,1,0,CM,10
Emil Forsberg,79,65,72,81,81,36,61,66,64,77,73,71,72,65,76,82,81,75,83,77,79,81,73,80,78,84,77,44,44,38,27,33,57,65,59,61,CAM,4,4,Right,"177cm / 5'10""",76kg / 168lb,LM,32,Sweden,MLS,Red Bulls,"First Touch, Incisive Pass, Technical",0,1,0,0,0,1,0,2,0,0,0,0,0,CAM,0
Chris Führich,79,83,69,72,85,51,59,87,79,71,70,70,68,63,59,71,72,62,75,66,77,87,89,85,76,84,72,43,54,53,55,50,66,78,49,58,LM,4,4,Right,"181cm / 5'11""",70kg / 154lb,"LW, CAM",26,Germany,Bundesliga,VfB Stuttgart,"Flair, Technical, Trivela",1,1,0,0,0,0,0,2,0,0,0,1,0,LM,0
Álvaro García,79,88,69,75,78,51,43,89,88,78,75,68,63,49,55,78,79,50,76,72,68,76,87,93,79,76,75,64,49,55,45,32,57,71,32,34,LM,3,3,Left,"167cm / 5'6""",61kg / 134lb,"CAM, LW",31,Spain,LALIGA EA SPORTS,Rayo Vallecano,Quick Step,1,1,0,0,0,0,0,0,0,0,0,1,0,LM,0
Alejandro Garnacho,79,86,75,72,81,37,59,88,84,78,77,78,69,76,56,73,75,61,77,57,75,81,87,88,77,80,72,40,44,36,37,29,60,77,47,66,LM,4,3,Right,"180cm / 5'11""",72kg / 159lb,"RM, LW",20,Argentina,Premier League,Man Utd,"Acrobatic, Finesse Shot, Flair, Quick Step, Technical",1,1,0,1,0,0,0,2,0,0,0,2,0,LM,0
Lutsharel Geertruida,79,75,57,70,76,79,78,77,73,69,66,55,45,38,45,69,70,30,77,74,56,76,73,72,76,78,77,78,80,77,82,78,89,77,80,73,CB,3,2,Right,"185cm / 6'1""",70kg / 154lb,RB,24,Holland,Bundesliga,RB Leipzig,"Intercept, Jockey, Pinged Pass",0,0,1,0,0,1,0,0,0,2,0,0,0,CB,10
Morgan Gibbs-White,79,75,74,79,80,57,69,77,73,76,75,74,71,67,75,80,78,71,80,79,76,81,83,79,78,80,76,58,58,57,57,56,72,78,66,66,CAM,2,4,Right,"179cm / 5'10""",72kg / 159lb,RM,24,England,Premier League,Nott'm Forest,"Flair, Incisive Pass, Relentless, Technical, Trivela",0,1,0,0,0,1,0,2,0,0,0,2,0,CAM,10
Carles Gil,79,70,71,80,79,38,62,74,67,78,73,62,74,70,68,85,77,72,82,77,80,80,73,74,79,80,76,39,33,35,42,38,58,84,61,40,CAM,4,4,Left,"170cm / 5'7""",65kg / 143lb,RM,31,Spain,MLS,New England,"Finesse Shot, Incisive Pass, Pinged Pass, Press Proven, Trivela",0,1,0,1,0,2,0,1,0,0,0,1,0,CAM,0
Santiago Giménez,79,79,80,70,76,49,75,77,80,84,82,83,76,70,81,75,64,52,74,69,72,77,75,70,74,77,78,51,80,55,39,22,81,68,76,78,ST,4,3,Left,"182cm / 6'0""",69kg / 152lb,,23,Mexico,Eredivisie,Feyenoord,"Chip Shot, Power Header",0,0,0,2,0,0,0,0,0,0,0,0,0,ST,0
Moi Gómez,79,66,75,80,78,61,61,71,61,78,77,73,76,65,59,80,79,72,81,83,82,78,74,73,78,81,75,72,54,65,60,41,64,78,56,52,CM,5,4,Right,"176cm / 5'9""",73kg / 161lb,"LM, RM",30,Spain,LALIGA EA SPORTS,CA Osasuna,"Long Ball Pass, Press Proven, Tiki Taka",0,2,0,0,0,2,0,1,0,0,0,0,0,CM,10
João Neves,79,81,68,75,80,75,80,82,80,75,68,73,66,66,60,78,67,53,80,76,72,78,84,82,81,80,81,80,66,72,78,71,82,90,76,76,CM,3,3,Right,"174cm / 5'9""",66kg / 146lb,CDM,19,Portugal,Ligue 1 McDonald's,Paris SG,"Press Proven, Relentless",0,1,0,0,0,0,0,1,0,0,0,1,0,CM,10
Robin Gosens,79,72,74,73,75,76,80,76,69,79,78,76,68,69,55,67,76,58,77,75,69,75,71,67,79,77,77,76,79,73,77,80,88,87,76,80,LB,3,3,Left,"183cm / 6'0""",76kg / 168lb,LM,30,Germany,Serie A Enilive,Fiorentina,"Block, Slide Tackle",0,1,0,0,0,0,0,0,0,2,0,0,0,LB,10
Mason Greenwood,79,83,80,75,81,36,60,82,83,79,80,86,79,72,69,76,72,75,77,73,78,83,85,75,72,81,75,34,63,27,39,33,75,67,60,49,RM,5,4,Left,"181cm / 5'11""",70kg / 154lb,"ST, LM, RW",22,England,Ligue 1 McDonald's,OM,"Finesse Shot, Flair, Power Shot, Technical, Trivela",2,1,0,2,0,0,0,2,0,0,0,1,0,RM,0
Guruzeta,79,75,79,71,78,42,80,75,75,79,81,82,72,80,71,74,69,52,78,62,72,78,77,73,79,81,75,37,80,42,35,36,89,80,82,72,ST,4,3,Right,"188cm / 6'2""",80kg / 176lb,,28,Spain,LALIGA EA SPORTS,Athletic Club,"Flair, Trivela",0,0,0,0,0,0,0,1,0,0,0,1,0,ST,0
Sébastien Haller,79,56,79,63,75,51,73,54,57,84,82,83,65,84,85,73,42,46,77,53,57,73,66,59,82,81,85,36,83,40,61,56,84,54,84,67,ST,3,3,Right,"191cm / 6'3""",90kg / 198lb,,30,Côte d'Ivoire,LALIGA EA SPORTS,CD Leganés,"Acrobatic, First Touch, Flair, Power Header",0,0,0,1,0,0,0,2,0,0,0,1,0,ST,10
Franck Honorat,79,80,77,77,78,53,63,80,80,73,74,88,78,74,68,76,90,60,74,71,80,79,78,75,72,78,74,59,59,53,46,51,68,84,54,57,RM,3,4,Right,"180cm / 5'11""",70kg / 154lb,RW,28,France,Bundesliga,M'gladbach,"Power Shot, Technical, Trivela, Whipped Pass",1,0,0,1,0,0,0,1,0,0,0,1,0,RM,0
Hiroki Ito,79,77,57,71,72,80,75,78,76,56,48,78,64,45,47,66,68,45,77,80,52,69,67,70,83,77,76,81,74,83,78,77,86,69,78,72,CB,3,2,Left,"188cm / 6'2""",84kg / 185lb,LB,25,Japan,Bundesliga,FC Bayern München,"Block, Jockey",0,0,1,0,0,0,0,0,0,2,0,0,0,CB,10
Nicolas Jackson,79,83,78,65,80,40,73,82,84,82,80,78,75,76,62,68,55,53,75,55,57,84,75,77,77,79,75,35,77,35,37,33,89,76,76,58,ST,3,3,Right,"187cm / 6'2""",78kg / 172lb,,23,Senegal,Premier League,Chelsea,"Flair, Technical",0,0,0,0,0,0,0,2,0,0,0,0,0,ST,0
Curtis Jones,79,68,71,75,81,70,75,68,68,77,68,76,73,67,60,76,65,51,83,76,74,83,76,72,79,82,82,71,52,71,76,68,68,82,72,74,CM,4,4,Right,"185cm / 6'1""",75kg / 165lb,CAM,23,England,Premier League,Liverpool,"Finesse Shot, Flair, Press Proven",0,1,0,1,0,0,0,2,0,0,0,0,0,CM,10
Luka Jović,79,75,79,68,79,30,72,76,74,80,80,81,75,81,66,70,67,56,72,61,77,78,74,81,80,80,81,23,82,25,26,16,90,63,79,62,ST,5,3,Right,"181cm / 5'11""",85kg / 187lb,,26,Serbia,Serie A Enilive,Milano FC,Chip Shot,0,0,0,1,0,0,0,0,0,0,0,0,0,ST,0
İrfan Can Kahveci,79,73,79,79,80,58,66,74,73,75,78,81,86,69,58,79,79,78,80,76,84,82,77,82,74,81,75,62,52,56,61,56,60,68,64,71,RW,3,3,Left,"176cm / 5'9""",75kg / 165lb,"CAM, CM, RM",29,Turkey,Trendyol Süper Lig,Fenerbahçe,"Finesse Shot, First Touch, Incisive Pass, Power Shot, Technical, Whipped Pass",0,3,0,2,0,1,0,2,0,0,0,0,0,RW,0
Lukas Klostermann,79,82,50,64,70,81,76,81,82,68,55,58,31,41,32,55,72,22,74,63,47,71,63,60,81,72,68,80,77,82,81,85,89,74,77,71,CB,3,2,Right,"187cm / 6'2""",88kg / 194lb,RB,28,Germany,Bundesliga,RB Leipzig,Rapid,0,0,1,0,0,0,0,0,0,0,0,0,0,CB,10
Robin Koch,79,65,38,61,65,80,76,55,73,52,27,56,42,29,38,64,40,28,75,72,31,60,61,53,79,72,80,78,79,79,82,78,80,66,79,79,CB,4,2,Right,"191cm / 6'3""",85kg / 187lb,,28,Germany,Bundesliga,Frankfurt,,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,1
Sead Kolašinac,79,64,63,67,68,79,83,59,68,69,60,75,58,55,54,65,73,42,72,63,61,67,57,53,79,72,70,78,74,80,80,79,82,70,88,87,CB,2,2,Left,"183cm / 6'0""",85kg / 187lb,LB,31,Bosnia and Herzegovina,Serie A Enilive,Bergamo Calcio,Bruiser,0,0,1,0,0,0,0,0,0,1,0,0,0,CB,10
Geoffrey Kondogbia,79,67,71,75,75,80,88,66,68,74,67,83,74,56,53,77,64,63,80,81,64,74,72,58,76,80,81,82,76,81,79,80,87,86,91,83,CM,3,3,Left,"188cm / 6'2""",76kg / 168lb,CDM,31,Central African Republic,Ligue 1 McDonald's,OM,"Aerial, Anticipate, Bruiser, Intercept, Jockey, Power Shot",0,1,0,1,0,0,0,0,0,4,0,1,0,CM,10
Erik Lamela,79,76,77,78,82,54,68,77,76,78,74,81,80,75,75,77,78,81,79,75,84,84,80,75,78,83,76,55,60,52,52,54,72,67,61,86,RW,3,4,Left,"184cm / 6'0""",75kg / 165lb,"CAM, RM",32,Argentina,Hellas Liga,AEK Athens,"Finesse Shot, Flair, Technical",0,2,0,1,0,0,0,2,0,0,0,0,0,RW,0
Noa Lang,79,82,75,72,84,50,70,86,79,75,77,72,72,80,71,74,69,57,76,68,75,85,88,84,78,84,82,57,49,47,51,43,71,80,65,72,LW,4,5,Right,"179cm / 5'10""",69kg / 152lb,"CAM, LM",25,Holland,Eredivisie,PSV,"First Touch, Flair, Incisive Pass, Quick Step, Technical, Trivela",0,2,0,0,0,1,0,3,0,0,0,2,0,LW,0
Manuel Lazzari,79,93,62,76,82,70,66,92,93,74,67,53,57,59,55,74,83,58,78,75,68,82,89,89,78,81,76,73,44,72,75,69,66,85,56,66,RB,3,3,Right,"174cm / 5'9""",67kg / 148lb,,30,Italy,Serie A Enilive,Latium,"Quick Step, Rapid",0,0,0,0,0,0,0,0,0,0,0,1,0,RB,10
Lee Kang In,79,74,74,80,82,50,66,75,74,78,75,78,69,75,70,80,79,77,80,79,82,82,85,87,76,82,81,53,65,45,51,42,71,73,59,72,CAM,3,4,Left,"173cm / 5'8""",66kg / 146lb,"CM, RW",23,Korea Republic,Ligue 1 McDonald's,Paris SG,"Technical, Trivela, Whipped Pass",1,1,0,0,0,0,0,1,0,0,0,1,0,CAM,0
Pierre Lees-Melou,79,62,72,78,77,73,76,64,61,76,70,77,78,58,65,78,78,69,80,79,78,77,72,65,78,80,78,80,58,76,74,65,70,90,72,71,CDM,4,3,Right,"186cm / 6'1""",70kg / 154lb,CM,31,France,Ligue 1 McDonald's,Stade Brestois 29,"Intercept, Long Ball Pass, Pinged Pass, Relentless",0,1,0,0,0,2,0,0,0,1,0,1,0,CDM,10
Mario Lemina,79,69,67,75,75,78,80,67,71,68,59,80,73,66,68,73,71,66,79,78,77,75,69,68,78,77,78,79,80,78,78,74,83,84,76,82,CDM,4,3,Right,"184cm / 6'0""",85kg / 187lb,CM,31,Gabon,Premier League,Wolves,"Flair, Technical",0,1,0,0,0,0,0,2,0,0,0,0,0,CDM,10
Jefferson Lerma,79,72,71,71,74,77,81,68,75,65,65,83,77,63,58,63,64,67,78,75,67,74,69,75,76,77,70,80,74,76,77,76,87,83,76,89,CDM,4,3,Right,"179cm / 5'10""",70kg / 154lb,"CM, CB",29,Colombia,Premier League,Crystal Palace,"Aerial, Anticipate, Bruiser, Relentless, Slide Tackle",0,1,1,0,0,0,0,0,0,3,0,2,0,CDM,10
Philipp Lienhart,79,69,28,59,64,81,75,62,74,35,24,29,34,21,41,53,41,40,74,70,28,59,63,62,78,69,75,80,84,83,80,77,85,66,78,77,CB,3,2,Right,"189cm / 6'2""",85kg / 187lb,,28,Austria,Bundesliga,SC Freiburg,Power Header,0,0,0,1,0,0,0,0,0,0,0,0,0,CB,1
Pedro Neto,79,88,74,72,83,31,59,89,87,75,75,77,73,68,62,76,76,56,75,62,68,84,90,90,74,81,69,41,49,32,23,17,68,70,55,55,RW,4,4,Left,"172cm / 5'8""",62kg / 137lb,"LW, ST, RM",24,Portugal,Premier League,Chelsea,"Quick Step, Rapid",2,1,0,0,0,0,0,0,0,0,0,1,0,RW,0
Castello Lukeba,79,70,43,68,73,80,73,71,69,44,41,55,38,42,39,69,59,26,78,74,54,71,70,68,79,74,80,79,76,79,82,81,84,63,76,76,CB,2,2,Left,"184cm / 6'0""",73kg / 161lb,,21,France,Bundesliga,RB Leipzig,,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,10
Dodi Lukébakio,79,84,78,70,82,31,59,82,86,77,77,83,75,74,80,70,73,68,73,60,76,85,77,71,74,83,76,26,55,31,29,24,74,64,68,28,RW,3,4,Left,"187cm / 6'2""",77kg / 170lb,"ST, LW, RM",26,Belgium,LALIGA EA SPORTS,Sevilla FC,"Flair, Technical",2,1,0,0,0,0,0,2,0,0,0,0,0,RW,0
Ian Maatsen,79,86,65,75,81,72,63,88,85,68,64,72,68,57,45,72,77,62,80,70,71,81,86,86,78,81,74,74,58,72,72,78,70,74,52,73,LB,4,3,Left,"178cm / 5'10""",63kg / 139lb,,22,Holland,Premier League,Aston Villa,"Rapid, Slide Tackle",0,0,0,0,0,0,0,0,0,1,0,0,0,LB,10
Pablo Maffeo,79,82,52,70,79,76,70,85,80,67,53,57,52,21,37,64,79,34,75,68,71,81,75,81,73,80,62,71,70,74,82,78,81,71,70,67,RB,3,3,Right,"172cm / 5'8""",70kg / 154lb,LB,27,Argentina,LALIGA EA SPORTS,RCD Mallorca,Block,0,0,1,0,0,0,0,0,0,1,0,0,0,RB,10
Omar Marmoush,79,89,78,66,83,32,71,86,91,82,80,79,77,72,70,74,49,63,78,54,66,83,90,82,76,82,79,34,67,26,30,21,80,75,68,70,ST,3,4,Right,"183cm / 6'0""",81kg / 179lb,LW,25,Egypt,Bundesliga,Frankfurt,Technical,1,0,0,0,0,0,0,1,0,0,0,0,0,ST,0
Arnau Martínez,79,80,50,72,74,74,70,82,78,61,50,56,45,35,50,65,80,40,79,66,68,73,75,66,79,76,65,74,74,70,77,76,82,78,66,67,RB,3,2,Right,"182cm / 6'0""",72kg / 159lb,CB,21,Spain,LALIGA EA SPORTS,Girona FC,"Jockey, Whipped Pass",0,0,1,0,0,0,0,0,0,1,0,0,0,RB,10
Adam Marušić,79,87,66,67,74,76,80,86,87,69,56,79,77,68,58,60,76,54,71,55,76,75,64,76,76,76,75,76,76,75,76,75,92,80,81,76,LB,4,3,Right,"185cm / 6'1""",81kg / 179lb,RB,31,Montenegro,Serie A Enilive,Latium,"Long Throw, Rapid",0,0,1,0,0,0,0,0,0,0,0,0,0,LB,10
Jean-Philippe Mateta,79,76,78,63,73,39,82,68,83,79,83,82,64,74,76,65,49,39,76,56,61,76,54,48,76,77,78,41,76,35,34,26,87,66,89,83,ST,4,3,Right,"192cm / 6'4""",88kg / 194lb,,27,France,Premier League,Crystal Palace,Flair,0,0,0,0,0,0,0,1,0,0,0,0,0,ST,0
Borja Mayoral,79,71,80,71,77,39,67,70,72,83,83,80,76,73,81,70,64,69,77,67,72,76,73,74,77,80,80,37,84,40,29,24,85,66,72,52,ST,4,3,Right,"182cm / 6'0""",74kg / 163lb,,27,Spain,LALIGA EA SPORTS,Getafe CF,,0,0,0,0,0,0,0,0,0,0,0,0,0,ST,0
Chancel Mbemba,79,73,57,65,68,80,81,70,75,64,55,76,49,37,41,63,64,28,74,68,39,65,66,64,77,72,73,78,79,79,82,80,86,77,82,81,CB,3,2,Right,"182cm / 6'0""",81kg / 179lb,,30,Congo DR,Ligue 1 McDonald's,OM,"Aerial, Intercept, Long Ball Pass",0,0,0,0,0,1,0,0,0,1,0,1,0,CB,10
Callum McGregor,79,79,74,77,80,71,78,82,77,74,72,79,74,72,65,79,67,62,84,78,74,75,84,87,83,83,83,70,52,75,73,71,73,93,70,80,CDM,4,4,Left,"178cm / 5'10""",74kg / 163lb,CM,31,Scotland,Scottish Prem,Celtic,"Pinged Pass, Press Proven, Relentless, Tiki Taka",0,1,0,0,0,2,0,1,0,0,0,1,0,CDM,10
Medrán,79,60,71,82,79,63,69,57,62,72,67,78,78,68,60,82,80,75,83,84,80,78,80,70,78,81,81,62,61,65,65,58,69,80,71,49,CM,5,3,Right,"178cm / 5'10""",71kg / 157lb,CAM,30,Spain,ROSHN Saudi League,Ettifaq FC,"Dead Ball, Finesse Shot, Long Ball Pass, Technical, Tiki Taka",0,1,0,2,0,2,0,1,0,0,0,0,0,CM,10
Nikola Milenković,79,58,45,62,62,79,82,63,53,25,38,60,54,35,34,55,66,29,69,66,43,60,42,33,76,70,78,78,83,78,81,78,87,77,84,84,CB,3,2,Right,"195cm / 6'5""",90kg / 198lb,,26,Serbia,Premier League,Nott'm Forest,Aerial,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,3
Takumi Minamino,79,79,74,75,82,40,64,84,74,77,76,71,73,72,72,79,71,69,79,67,76,82,89,87,78,80,78,49,53,34,39,33,69,74,58,64,CAM,4,3,Right,"172cm / 5'8""",67kg / 148lb,"RM, LM",29,Japan,Ligue 1 McDonald's,AS Monaco,,0,2,0,0,0,0,0,0,0,0,0,0,0,CAM,0
Tyrone Mings,79,64,44,67,64,78,80,55,72,53,37,61,42,34,45,57,70,37,75,75,53,68,34,46,76,67,71,77,77,79,78,80,83,62,86,86,CB,2,3,Left,"196cm / 6'5""",77kg / 170lb,,31,England,Premier League,Aston Villa,"Aerial, Bruiser, Long Ball Pass",0,0,0,0,0,1,0,0,0,1,0,1,0,CB,1
Maximilian Mittelstädt,79,74,62,72,77,77,72,79,69,68,56,74,70,47,42,62,79,46,78,71,77,78,76,78,79,77,76,83,66,76,79,72,76,80,66,78,LB,2,3,Left,"180cm / 5'11""",71kg / 157lb,LM,27,Germany,Bundesliga,VfB Stuttgart,Intercept,0,1,0,0,0,0,0,0,0,1,0,0,0,LB,10
Álex Moreno,79,79,66,74,77,76,68,80,78,78,67,63,64,65,70,74,78,57,77,68,69,78,83,79,79,77,60,76,63,77,78,75,74,76,60,75,LB,2,3,Left,"179cm / 5'10""",68kg / 150lb,,31,Spain,Premier League,Nott'm Forest,"Flair, Rapid",0,0,0,0,0,0,0,1,0,0,0,0,0,LB,10
Hidemasa Morita,79,69,72,76,79,74,77,68,69,77,75,72,74,54,52,77,70,57,81,81,72,80,75,73,79,80,80,80,47,76,77,74,67,85,75,75,CM,5,3,Right,"177cm / 5'10""",69kg / 152lb,CDM,29,Japan,Liga Portugal,Sporting CP,"Anticipate, Bruiser, Incisive Pass, Press Proven, Relentless",0,1,0,0,0,1,0,1,0,2,0,1,0,CM,10
Florentino,79,55,47,65,73,79,78,55,55,67,35,65,58,36,38,69,41,44,79,76,44,72,71,65,76,74,76,83,67,79,82,78,73,81,77,78,CDM,2,2,Right,"184cm / 6'0""",76kg / 168lb,CM,25,Portugal,Liga Portugal,SL Benfica,"Bruiser, Intercept, Pinged Pass, Press Proven, Slide Tackle",0,1,0,0,0,1,0,1,0,3,0,0,0,CDM,3
Hany Mukhtar,79,82,75,77,80,44,64,82,82,79,78,75,74,55,73,80,73,77,79,75,75,78,87,85,79,80,79,43,47,43,44,44,67,87,60,42,CAM,5,3,Right,"173cm / 5'8""",71kg / 157lb,ST,29,Germany,MLS,Nashville SC,"First Touch, Flair, Quick Step, Technical, Trivela",1,0,0,0,0,0,0,3,0,0,0,2,0,CAM,0
Nordi Mukiele,79,77,49,68,71,80,80,76,78,60,40,67,52,39,45,64,71,33,72,69,68,71,65,65,72,74,71,81,72,79,83,81,85,79,79,83,RB,3,3,Right,"187cm / 6'2""",84kg / 185lb,CB,26,France,Bundesliga,Leverkusen,Slide Tackle,0,0,1,0,0,0,0,0,0,1,0,0,0,RB,10
Galeno,79,93,76,70,82,38,68,92,94,79,79,75,74,65,59,69,68,70,73,62,78,83,88,73,78,80,85,45,41,34,39,29,69,82,66,56,LM,3,4,Right,"179cm / 5'10""",62kg / 137lb,LW,26,Brazil,Liga Portugal,FC Porto,"First Touch, Flair, Quick Step, Rapid, Relentless",1,0,0,0,0,0,0,2,0,0,0,2,0,LM,0
Matt O'Riley,79,69,77,80,77,67,76,68,69,80,77,81,76,74,72,83,74,74,82,79,78,76,74,82,79,78,81,67,66,66,70,65,74,85,73,71,CM,4,4,Left,"188cm / 6'2""",77kg / 170lb,"CAM, CDM",23,Denmark,Premier League,Brighton,"Chip Shot, Finesse Shot, First Touch, Incisive Pass, Slide Tackle, Technical",0,2,0,2,0,1,0,2,0,1,0,0,0,CM,10
Ayoze Pérez,79,78,73,76,82,58,65,80,76,78,76,71,67,74,73,77,76,60,79,74,76,84,80,79,78,82,77,49,76,61,61,42,80,66,58,76,LM,4,4,Right,"178cm / 5'10""",72kg / 159lb,"RM, CAM, LW",31,Spain,LALIGA EA SPORTS,Villarreal CF,"Acrobatic, Flair, Incisive Pass, Technical",1,2,0,0,0,1,0,2,0,0,0,1,0,LM,0
